1	H	ok	0.75420	13.598000	np	np	np	np	np	np	np
24	Cr	ok	0.67584	6.76600	16.50000	30.96000	49.10000	69.30000	90.56000	161.10000	184.70000
25	Mn	ok	0.00000	7.43500	15.64000	33.66700	51.20000	72.40000	95.00000	119.27000	196.46000
26	Fe	ok	0.15100	7.87000	16.18000	30.65100	54.80000	75.00000	99.00000	125.00000	151.06000
27	Co	ok	0.66330	7.86000	17.06000	33.50000	51.30000	79.50000	102.00000	129.00000	157.00000
28	Ni	ok	1.15716	7.63500	18.16800	35.17000	54.90000	75.50000	108.00000	133.00000	162.00000
29	Cu	ok	1.23578	7.72600	20.29200	36.83000	55.20000	79.90000	103.00000	139.00000	166.00000
30	Zn	ok	0.00000	9.39400	17.96400	39.72200	59.40000	82.60000	108.00000	134.00000	174.00000
31	Ga	ok	0.41000	5.99900	20.51000	30.71000	64.00000	na	na	na	na
32	Ge	ok	1.23271	7.89900	15.93400	34.22000	45.71000	93.50000	na	na	na
33	As	ok	0.81400	9.81000	18.63300	28.35100	50.13000	62.63000	127.60000	na	na
34	Se	ok	2.02070	9.75200	21.19000	30.82000	42.94400	68.30000	81.70000	155.40000	na
35	Br	ok	3.36359	11.81400	21.80000	36.00000	47.30000	59.70000	88.60000	103.00000	192.80000
36	Kr	ok	0.00000	13.99900	24.35900	36.95000	52.50000	64.70000	18.50000	111.00000	126.00000
37	Rb	ok	0.48592	4.17700	27.28000	40.00000	52.60000	71.00000	84.40000	99.20000	136.00000
38	Sr	ok	0.05206	5.69500	11.03000	43.60000	57.00000	71.60000	90.80000	106.00000	122.30000
39	Y	ok	0.30700	6.38000	12.24000	20.52000	61.80000	77.00000	93.00000	116.00000	129.00000
40	Zr	ok	0.42600	6.84000	13.13000	22.99000	34.34000	81.50000	na	na	na
41	Nb	ok	0.89300	6.88000	14.32000	25.04000	38.30000	50.55000	102.60000	125.00000	na
42	Mo	ok	0.74720	7.09900	16.15000	27.16000	46.40000	61.20000	68.00000	126.80000	153.00000
43	Tc	ok	0.55000	7.28000	15.26000	29.54000	na	na	na	na	na
44	Ru	ok	1.04638	7.37000	16.76000	28.47000	na	na	na	na	na
45	Rh	ok	1.14289	7.46000	18.08000	31.06000	na	na	na	na	na
46	Pd	ok	0.56214	8.34000	19.43000	32.93000	na	na	na	na	na
47	Ag	ok	1.30447	7.57600	21.49000	34.83000	na	na	na	na	na
48	Cd	ok	0.00000	8.99300	16.90800	37.48000	na	na	na	na	na
49	In	ok	0.40400	5.78600	18.86900	28.03000	54.00000	na	na	na	na
50	Sn	ok	1.11207	7.34400	14.63200	30.50200	40.73400	72.28000	na	na	na
51	Sb	ok	1.04740	8.64100	16.53000	25.30000	44.20000	56.00000	108.00000	na	na
52	Te	ok	1.97088	9.00900	18.60000	27.96000	37.41000	58.75000	70.70000	137.00000	na
53	I	ok	3.05904	10.45100	19.13100	33.00000	na	na	na	na	na
54	Xe	ok	0.00000	12.13000	21.21000	32.10000	na	na	na	na	na
55	Cs	warn_IP3	0.47163	3.89400	25.10000	na	na	na	na	na	na
56	Ba	warn_IP3	0.14462	5.21200	10.00400	na	na	na	na	na	na
57	La	ok	0.47000	5.57700	11.06000	19.17500	na	na	na	na	na
58	Ce	ok	0.70000	5.47000	10.85000	20.20000	36.72000	na	na	na	na
59	Pr	warn_EA	<0.5	5.42000	10.55000	21.62000	38.95000	57.45000	na	na	na
60	Nd	warn_EA_IP3	<0.5	5.49000	10.72000	na	na	na	na	na	na
61	Pm	warn_EA_IP3	<0.5	5.55000	10.90000	na	na	na	na	na	na
62	Sm	warn_EA_IP3	<0.5	5.63000	11.07000	na	na	na	na	na	na
63	Eu	warn_EA_IP3	<0.5	5.67000	11.25000	na	na	na	na	na	na
64	Gd	warn_EA_IP3	<0.5	6.14000	12.10000	na	na	na	na	na	na
65	Tb	warn_EA_IP3	<0.5	5.85000	11.52000	na	na	na	na	na	na
66	Dy	warn_EA_IP3	<0.5	5.93000	11.67000	na	na	na	na	na	na
67	Ho	warn_EA_IP3	<0.5	6.02000	11.80000	na	na	na	na	na	na
68	Er	warn_EA_IP3	<0.5	6.10000	11.93000	na	na	na	na	na	na
69	Tm	warn_EA	<0.5	6.18000	12.05000	23.71000	na	na	na	na	na
70	Yb	warn_EA	<0.5	6.25400	12.17000	25.20000	na	na	na	na	na
71	Lu	warn_EA_IP3	<0.5	5.42600	13.90000	na	na	na	na	na	na
72	Hf	ok	0.00000	7.00000	14.90000	23.30000	33.30000	na	na	na	na
73	Ta	warn_IP2	0.32200	7.89000	na	na	na	na	na	na	na
74	W	warn_IP2	0.81500	7.98000	na	na	na	na	na	na	na
75	Re	warn_IP2	0.01500	7.88000	na	na	na	na	na	na	na
76	Os	warn_IP2	1.07780	8.70000	na	na	na	na	na	na	na
77	Ir	warn_IP2	1.56436	9.10000	na	na	na	na	na	na	na
78	Pt	warn_IP3	2.12510	9.00000	18.56300	na	na	na	na	na	na
79	Au	warn_IP3	2.30861	9.22500	20.50000	na	na	na	na	na	na
80	Hg	ok	0.00000	10.43700	18.75600	34.20000	na	na	na	na	na
81	Tl	ok	0.37700	6.10800	20.42800	29.83000	na	na	na	na	na
82	Pb	ok	0.36400	7.41600	15.03200	31.93700	42.32000	68.80000	na	na	na
83	Bi	ok	0.94236	7.28900	16.69000	25.56000	45.30000	56.00000	88.30000	na	na
84	Po	warn_IP2	1.90000	8.42000	na	na	na	na	na	na	na
